FirstName,LastName,Height,Weight,Age,Position,College,Experience,Team,InsideScoring,Jumpshot,3P,Handling,Passing,Quickness,PostD,PerimeterD,DriveD,Stealing,Blocking,Oreb,Dreb,Jumping,Strength,Potential,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7
Jamal,Crawford,77,190,27,SG,Michigan,6,Knicks,59,76,67,47,54,73,27,50,42,51,7,16,27,70,43,71,7200000,7920000,8640000,0,0,0,0
Channing,Frye,83,248,24,PF,Arizona,1,Knicks,62,71,8,49,22,43,57,19,47,45,48,39,59,49,74,78,2325000,2487240,0,0,0,0,0
Nate,Robinson,69,180,23,SG,Washington,1,Knicks,41,70,79,54,30,77,23,46,52,62,13,29,30,68,43,99,1185480,1268160,0,0,0,0,0
Quentin,Richardson,78,230,27,SF,DePaul,6,Knicks,49,61,79,60,34,59,50,32,39,49,14,32,67,57,74,71,6960000,8105500,8825750,0,0,0,0
David,Lee,81,249,24,PF,Florida,1,Knicks,66,74,5,53,32,45,66,32,37,53,34,77,81,54,86,85,926040,990600,0,0,0,0,0
Steve,Francis,75,210,30,PG,Maryland,7,Knicks,41,75,76,53,45,79,32,46,52,60,16,20,38,69,46,54,15070000,16440000,17180000,0,0,0,0
Renaldo,Balkman,80,208,23,PF,South Carolina,0,Knicks,55,49,12,54,22,45,54,56,61,71,60,63,66,55,71,76,1148760,1234800,0,0,0,0,0
Mardy,Collins,78,220,23,SG,Temple,0,Knicks,48,51,31,50,32,63,35,53,54,64,14,25,37,68,52,94,867720,932760,0,0,0,0,0
Jared,Jeffries,83,240,26,PF,Indiana,4,Knicks,52,38,5,55,25,36,50,33,52,57,51,59,43,50,65,75,5215000,5632200,6049400,6466600,0,0,0
Malik,Rose,79,255,33,PF,Drexel,10,Knicks,45,73,5,44,28,41,50,36,44,55,42,47,59,51,76,51,6555000,7101250,7647500,0,0,0,0
Jerome,James,85,280,32,PF,Florida A&M,6,Knicks,48,48,5,38,8,39,51,23,59,48,62,46,50,54,76,49,5400000,5800000,6200000,0,0,0,0
Kelvin,Cato,83,275,33,C,Iowa State,9,Knicks,45,59,5,44,5,37,65,19,70,48,75,60,56,49,81,49,1071225,0,0,0,0,0,0
Randolph,Morris,83,260,21,C,Kentucky,0,Knicks,42,45,5,49,7,34,60,27,54,39,53,34,38,41,68,97,116667,810000,0,0,0,0,0
Dwight,Howard,83,265,22,C,SW Atlanta Christian Academy (GA),2,Magic,81,51,8,14,35,46,85,26,66,48,71,68,89,66,97,91,4806720,6061273,0,0,0,0,0
Jameer,Nelson,72,190,25,PG,Saint Joseph's,2,Magic,48,75,67,52,62,86,23,41,46,56,5,17,33,55,42,75,1272120,1961609,0,0,0,0,0
Hedo,Turkoglu,82,220,28,SF,Turkey,6,Magic,50,70,79,53,50,60,37,37,43,56,14,20,42,60,59,60,5883300,6373900,6864200,0,0,0,0
Grant,Hill,80,225,35,SG,Duke,11,Magic,64,69,5,43,41,67,43,51,49,55,25,21,37,88,53,51,16901500,0,0,0,0,0,0
Darko,Milicic,84,275,22,PF,Serbia & Montenegro,3,Magic,61,53,5,45,27,41,63,20,70,49,76,55,57,64,78,90,5218622,0,0,0,0,0,0
Carlos,Arroyo,74,202,28,PG,Florida International,5,Magic,53,72,36,61,49,82,25,43,48,58,6,18,32,59,42,60,4000000,4000000,0,0,0,0,0
Keyon,Dooling,75,195,27,PG,Missouri,6,Magic,46,73,52,64,33,77,25,52,53,62,17,13,22,60,36,62,3348000,0,0,0,0,0,0
Trevor,Ariza,80,210,22,SF,UCLA,2,Magic,60,54,5,46,25,60,44,52,56,68,31,53,47,68,59,78,2510000,2710800,0,0,0,0,0
Tony,Battie,83,240,31,PF,Texas Tech,9,Magic,55,60,5,54,17,39,53,18,43,44,43,45,59,47,74,49,5746000,5200000,5746000,6292000,0,0,0
Keith,Bogans,77,215,27,SG,Kentucky,3,Magic,35,67,74,56,25,64,31,42,48,56,12,16,32,63,49,56,2510000,2710800,2911600,0,0,0,0
J.J.,Redick,76,190,23,SG,Duke,0,Magic,34,82,74,63,25,70,27,39,44,51,10,16,30,66,44,79,1860720,2000160,0,0,0,0,0
Travis,Diener,73,175,25,PG,Marquette,1,Magic,39,72,52,74,29,79,21,38,42,51,6,11,25,50,36,70,664209,0,0,0,0,0,0
Bo,Outlaw,80,220,36,PF,Houston,13,Magic,55,51,5,53,13,41,49,32,45,55,42,60,51,50,65,50,1178348,0,0,0,0,0,0
Pat,Garrity,81,238,31,SF,Notre Dame,8,Magic,36,81,38,54,17,53,37,31,42,53,17,29,38,57,58,52,3525000,0,0,0,0,0,0
James,Augustine,82,235,23,PF,Illinois,0,Magic,47,45,5,66,31,42,46,21,37,36,31,35,38,45,61,82,412748,687456,0,0,0,0,0
Andre,Iguodala,78,207,23,SG,Arizona,2,76ers,60,74,59,37,62,69,45,75,64,75,22,20,47,88,56,88,2201640,0,0,0,0,0,0
Kyle,Korver,79,210,26,SF,Creighton,3,76ers,54,83,89,52,32,65,37,33,40,50,17,10,41,60,56,78,4011551,4392739,4773927,5155115,5536303,0,0
Samuel,Dalembert,83,250,26,C,Seton Hall,4,76ers,62,67,5,41,22,40,66,14,69,42,75,69,72,46,86,68,8840000,9680000,10520000,11360000,12200000,0,0
Willie,Green,75,201,26,SG,Detroit Mercy,3,76ers,54,59,62,51,32,71,25,46,47,57,7,19,27,60,45,64,2800000,3094000,3388000,3682000,3976000,0,0
Andre,Miller,74,200,31,PG,Utah,7,76ers,65,70,14,63,81,77,31,64,51,62,7,26,35,56,44,47,8633333,9366666,9999999,0,0,0,0
Joe,Smith,82,225,32,PF,Maryland,11,76ers,60,76,5,50,21,45,60,27,43,50,41,57,67,54,76,49,6807000,0,0,0,0,0,0
Steven,Hunter,84,240,26,PF,DePaul,5,76ers,61,41,5,51,15,40,60,14,59,34,65,52,53,57,70,70,3024000,3248000,3472000,3696000,0,0,0
Rodney,Carney,79,205,23,SF,Memphis,0,76ers,44,53,52,54,16,60,39,41,52,58,37,29,35,61,53,73,1439760,1547760,0,0,0,0,0
Louis,Williams,73,175,21,PG,South Gwinnett HS (Snellville GA),1,76ers,44,62,34,63,44,81,27,61,50,60,7,18,31,59,39,99,718000,800000,0,0,0,0,0
Kevin,Ollie,75,195,35,PG,Connecticut,9,76ers,42,74,5,72,41,69,25,42,46,54,7,10,30,50,41,50,3196050,3441900,0,0,0,0,0
Alan,Henderson,81,240,35,PF,Indiana,11,76ers,56,62,5,57,11,43,52,20,52,48,53,64,53,56,71,51,117835,0,0,0,0,0,0
Bobby,Jones,79,215,23,SF,Washington,0,76ers,44,48,5,52,17,58,35,34,46,57,19,35,37,62,55,82,412718,687456,0,0,0,0,0
Shavlik,Randolph,82,240,24,PF,Duke,1,76ers,57,47,5,49,8,42,57,29,57,53,58,55,57,57,73,87,1000000,1080000,0,0,0,0,0
Louis,Amundson,81,225,25,PF,Las Vegas,0,76ers,49,45,5,46,6,41,56,19,62,44,66,56,50,58,66,77,132987,0,0,0,0,0,0
Ivan,McFarlin,80,240,25,PF,Oklahoma State,0,FA,47,45,5,55,8,44,46,13,37,36,31,36,32,48,59,89,0,0,0,0,0,0,0
Steven,Smith,81,250,24,PF,La Salle,0,FA,45,45,5,40,5,41,47,28,38,41,31,29,35,46,58,86,0,0,0,0,0,0,0
Gilbert,Arenas,76,215,25,PG,Arizona,5,Wizards,81,76,77,53,65,98,32,61,60,72,9,17,38,78,47,74,11093333,11946667,12800000,0,0,0,0
Antawn,Jamison,81,235,31,SF,North Carolina,8,Wizards,66,66,76,62,35,66,60,49,47,55,27,40,66,66,74,52,15101626,0,0,0,0,0,0
Caron,Butler,79,228,27,SF,Connecticut,4,Wizards,67,78,38,45,48,66,43,66,58,77,14,48,53,67,64,63,7438000,8218990,8999980,9780970,10561960,0,0
DeShawn,Stevenson,77,218,26,SG,Washington Union HS (CA),6,Wizards,42,62,77,61,47,65,33,48,45,52,16,18,27,67,46,76,932015,1033930,0,0,0,0,0
Jarvis,Hayes,80,228,26,SF,Georgia,3,Wizards,40,77,69,63,28,58,39,33,43,53,19,23,43,55,59,77,2564127,0,0,0,0,0,0
Antonio,Daniels,76,205,32,PG,Bowling Green,9,Wizards,43,75,39,92,57,73,31,49,42,50,10,10,31,64,42,50,5400000,5800000,6200000,6600000,0,0,0
Brendan,Haywood,84,263,28,C,North Carolina,5,Wizards,59,47,5,48,19,38,61,14,65,44,70,78,61,51,82,58,4500000,5000000,5500000,6000000,0,0,0
Etan,Thomas,82,260,29,C,Syracuse,5,Wizards,59,48,5,45,15,40,63,20,69,43,76,75,70,50,86,59,5880000,6370000,6860000,7350000,0,0,0
Darius,Songaila,81,248,29,PF,Wake Forest,3,Wizards,64,77,5,49,23,46,48,29,46,50,45,49,52,52,71,62,3650000,3942000,4234000,4526000,0,0,0
Andray,Blatche,83,248,21,PF,South Kent Prep (CT),1,Wizards,49,53,14,45,24,42,58,22,59,51,61,71,61,55,76,85,664209,0,0,0,0,0,0
Roger,Mason,77,212,27,SG,Virginia,2,Wizards,34,80,55,63,21,65,32,38,48,55,21,14,27,64,46,62,744551,0,0,0,0,0,0
Donell,Taylor,77,193,25,SG,Birmingham,1,Wizards,50,44,8,56,27,67,36,64,54,64,17,20,31,65,45,84,664209,0,0,0,0,0,0
Calvin,Booth,83,250,31,C,Penn State,7,Wizards,48,45,8,68,16,36,53,18,67,39,74,50,50,42,74,49,998967,0,0,0,0,0,0
Michael,Ruffin,80,248,30,C,Tulsa,6,Wizards,43,29,5,51,10,33,49,23,59,45,62,64,45,45,71,54,1803600,0,0,0,0,0,0
James,Lang,82,285,24,C,Central Park Christian HS (AL),0,FA,47,45,5,58,9,36,51,14,62,36,69,54,48,46,78,80,0,0,0,0,0,0,0
Mike,Hall,80,230,23,PF,George Washington,0,Wizards,46,45,5,58,15,41,45,22,37,36,31,31,32,45,57,84,412718,0,0,0,0,0,0
Joe,Johnson,79,235,26,SG,Arkansas,5,Hawks,73,67,80,46,50,77,38,48,42,50,9,18,32,72,51,75,12744190,13488377,14232566,14976754,0,0,0
Josh,Smith,81,235,22,PF,Oak Hill Academy (Mouth of Wilson VA),2,Hawks,71,61,48,32,46,49,69,47,78,63,82,45,64,72,75,96,1460640,2243543,0,0,0,0,0
Zaza,Pachulia,83,280,23,C,Georgia (Europe),3,Hawks,66,71,5,34,35,44,48,43,41,63,36,71,55,62,82,78,4000000,4000000,4000000,0,0,0,0
Marvin,Williams,81,230,21,SF,North Carolina,1,Hawks,51,74,25,50,37,58,44,30,42,49,28,31,47,67,63,88,4174800,4466040,0,0,0,0,0
Josh,Childress,80,210,24,SG,Stanford,2,Hawks,48,72,54,64,40,61,50,52,50,54,36,49,44,76,54,80,2863920,3631450,0,0,0,0,0
Tyronn,Lue,72,175,30,PG,Nebraska,8,Hawks,43,80,70,67,45,86,22,44,41,47,5,12,25,56,36,48,3500000,3500000,0,0,0,0,0
Salim,Stoudamire,73,175,25,SG,Arizona,1,Hawks,37,82,72,53,28,74,24,37,43,50,10,9,29,62,43,79,729000,783000,0,0,0,0,0
Shelden,Williams,81,250,24,PF,Duke,0,Hawks,53,68,8,43,20,42,58,40,53,58,51,61,71,55,82,91,2952840,3174240,0,0,0,0,0
Speedy,Claxton,71,170,29,PG,Hofstra,5,Hawks,54,47,22,62,53,72,20,62,65,81,9,11,28,51,38,53,6854546,6306182,5757818,5209454,0,0,0
Anthony,Johnson,75,195,33,PG,Charleston (SC),9,Hawks,42,67,51,68,49,72,24,41,46,54,7,14,26,49,39,50,2640000,2860000,0,0,0,0,0
Solomon,Jones,82,230,23,PF,South Florida,0,Hawks,51,71,5,51,12,43,47,23,63,45,68,54,53,60,68,73,675000,729000,797581,0,0,0,0
Lorenzen,Wright,83,255,32,C,Memphis,10,Hawks,48,20,5,58,21,33,47,25,58,51,60,61,52,38,76,50,3000000,3240000,0,0,0,0,0
Royal,Ivey,76,215,26,SG,Texas,2,Hawks,41,61,15,54,29,64,30,52,56,66,17,21,30,65,48,58,744551,0,0,0,0,0,0
Slava,Medvedenko,82,253,28,SF,Ukraine,6,Hawks,42,77,8,47,9,57,44,19,42,44,35,29,38,70,60,61,652410,0,0,0,0,0,0
Matt,Freije,82,240,26,SF,Vanderbilt,1,FA,41,45,12,70,12,53,44,36,43,52,24,30,37,57,58,76,0,0,0,0,0,0,0
Cedric,Bozeman,78,207,24,SG,UCLA,0,FA,48,45,11,55,12,59,32,39,47,54,18,15,29,64,46,74,0,0,0,0,0,0,0
Esteban,Batista,82,268,24,PF,Uruguay,1,Hawks,52,45,5,55,12,40,58,26,40,52,37,46,59,52,78,87,664209,0,0,0,0,0,0
Dijon,Thompson,79,195,24,SG,UCLA,1,FA,51,45,5,63,12,64,29,46,39,42,10,14,20,59,40,79,0,0,0,0,0,0,0
Chris,Paul,72,175,22,PG,Wake Forest,1,Hornets,53,74,66,75,88,91,28,77,61,75,5,18,39,70,44,76,3380160,3615960,0,0,0,0,0
Desmond,Mason,77,222,30,SF,Oklahoma State,6,Hornets,64,58,5,38,31,61,38,39,36,44,17,39,35,66,55,51,8036667,0,0,0,0,0,0
David,West,81,240,27,PF,Xavier (Ohio),3,Hornets,78,74,23,54,32,51,60,30,45,48,44,49,58,58,73,72,2051938,10650000,9862500,9075000,8287500,0,0
Rasual,Butler,79,205,28,SG,La Salle,4,Hornets,41,56,76,62,24,63,51,39,43,42,49,15,39,69,51,62,3000000,3315000,3630000,3945000,0,0,0
Jannero,Pargo,73,175,28,PG,Arkansas,4,Hornets,41,77,78,56,45,87,29,57,47,58,6,11,37,51,42,55,1000000,1000080,0,0,0,0,0
Tyson,Chandler,85,235,25,C,Dominguez HS (CA),5,Hornets,61,45,5,49,23,37,78,15,64,38,70,92,86,44,89,79,9000000,10050000,10950000,11850000,0,0,0
Devin,Brown,77,220,29,SG,Texas-San Antonio,4,Hornets,42,71,73,57,38,67,38,39,45,53,13,25,45,66,56,51,585212,0,0,0,0,0,0
Bobby,Jackson,73,185,34,SG,Minnesota,9,Hornets,41,69,65,57,37,73,34,63,52,62,13,24,39,71,49,51,5250000,5670000,6090000,0,0,0,0
Marc,Jackson,82,253,32,SF,Temple,6,Hornets,47,79,5,48,27,57,47,30,42,49,22,44,50,62,66,53,4875000,0,0,0,0,0,0
Peja,Stojakovic,82,229,30,SG,Serbia,8,Hornets,56,74,89,51,13,66,42,47,45,52,18,19,35,68,52,51,10800000,11934000,13068000,14202000,15336000,0,0
Linton,Johnson III,80,205,27,SF,Tulane,3,Hornets,41,73,32,53,15,58,47,46,58,66,42,48,56,60,64,67,771331,0,0,0,0,0,0
Hilton,Armstrong,83,235,23,PF,Connecticut,0,Hornets,52,52,5,44,12,42,55,20,57,47,59,61,56,58,71,99,1767600,1900200,0,0,0,0,0
Cedric,Simmons,81,235,21,PF,North Carolina State,0,Hornets,51,40,5,51,14,41,49,24,57,44,60,57,50,53,68,76,1515480,1629120,0,0,0,0,0
Brandon,Bass,80,240,22,PF,Louisiana State,1,Hornets,48,67,5,46,7,42,57,24,47,44,48,45,51,54,70,73,664209,0,0,0,0,0,0
Marcus,Vinicius,80,225,23,SF,Brazil,0,Hornets,44,45,21,52,12,54,41,35,44,51,26,24,35,59,55,79,412748,0,0,0,0,0,0
Ben,Gordon,75,200,24,SG,Connecticut,2,Bulls,67,78,85,28,52,84,28,31,41,48,13,10,34,84,48,86,3862080,4881669,0,0,0,0,0
Luol,Deng,81,220,22,SF,Duke,2,Bulls,76,70,5,57,41,66,57,56,49,57,31,39,57,67,67,75,2614440,3320338,0,0,0,0,0
Kirk,Hinrich,75,190,26,PG,Kansas,3,Bulls,48,75,86,65,72,87,29,46,51,60,16,9,35,61,43,57,3064916,11000000,10000000,9500000,9000000,8000000,0
Andres,Nocioni,79,225,28,SF,Argentina,2,Bulls,54,77,78,41,22,66,51,24,45,48,34,27,66,65,72,50,3030000,0,0,0,0,0,0
Chris,Duhon,73,185,25,PG,Duke,2,Bulls,39,67,73,73,57,75,25,54,51,62,7,11,31,50,41,71,3024000,3248000,0,0,0,0,0
Ben,Wallace,81,240,33,C,Virginia Union,10,Bulls,50,33,5,67,42,30,81,63,72,66,73,82,71,48,84,52,16000000,15500000,14500000,14000000,0,0,0
P.J.,Brown,83,239,38,PF,Louisiana Tech,13,Bulls,56,71,5,46,19,42,55,17,55,44,57,61,57,55,73,50,8000000,0,0,0,0,0,0
Tyrus,Thomas,81,215,21,PF,Louisiana State,0,Bulls,56,53,5,31,19,47,54,50,70,64,72,62,65,75,73,99,3260760,3505320,0,0,0,0,0
Thabo,Sefolosha,79,215,23,SG,Switzerland,0,Bulls,49,43,34,47,27,62,40,48,54,62,22,27,47,66,57,82,1679280,1805160,0,0,0,0,0
Malik,Allen,82,255,29,PF,Villanova,5,Bulls,51,74,5,56,14,44,52,24,52,52,52,50,51,51,72,52,1803600,0,0,0,0,0,0
Michael,Sweetney,80,270,25,PF,Georgetown,3,Bulls,51,48,5,37,20,44,52,27,52,49,53,56,54,61,75,85,2696956,0,0,0,0,0,0
Adrian,Griffin,77,230,33,SG,Seton Hall,7,Bulls,38,71,5,53,31,60,35,54,60,72,17,41,42,62,55,46,1475000,1593000,1711000,0,0,0,0
Viktor,Khryapa,81,218,25,SF,Russia,2,Bulls,42,65,5,54,16,56,39,36,48,58,23,36,42,61,58,81,1172400,1928598,0,0,0,0,0
Andre,Barrett,70,173,25,PG,Seton Hall,2,Bulls,57,45,5,50,32,78,21,34,40,43,6,10,19,45,33,63,744551,0,0,0,0,0,0
Martynas,Andriuskevicius,86,240,21,C,Lithuania,1,Bulls,40,45,5,49,5,31,63,46,54,46,51,39,42,38,68,99,664209,0,0,0,0,0,0
LeBron,James,80,240,23,SF,St. Vincent-St. Mary HS (OH),3,Cavaliers,81,62,65,46,64,72,59,64,55,64,34,21,57,83,70,73,5828039,12455000,13762775,15070550,0,0,0
Larry,Hughes,77,184,28,SG,St. Louis,8,Cavaliers,54,60,68,55,49,69,36,60,51,59,20,13,35,73,47,57,15363012,12000084,12827676,13655268,0,0,0
Zydrunas,Ilgauskas,87,260,32,C,Lithuania,8,Cavaliers,68,73,5,45,38,43,61,16,63,47,67,83,62,45,82,51,9442697,10142156,10841615,0,0,0,0
Drew,Gooden,82,250,26,PF,Kansas,4,Cavaliers,68,63,5,51,29,45,57,36,31,56,25,85,69,51,81,68,6600000,6400000,7100000,0,0,0,0
Aleksandar,Pavlovic,79,210,24,SF,Montenegro,3,Cavaliers,42,71,77,47,34,60,36,46,50,60,24,16,38,60,54,71,1962206,0,0,0,0,0,0
Donyell,Marshall,81,230,34,SF,Connecticut,12,Cavaliers,40,58,72,50,19,59,59,37,54,55,51,46,63,62,71,49,5183037,5566965,5950894,0,0,0,0
Anderson,Varejao,82,240,25,C,Brazil,2,Cavaliers,54,54,5,61,23,39,57,43,57,61,56,71,67,52,81,69,945600,0,0,0,0,0,0
Damon,Jones,75,190,31,PG,Houston,8,Cavaliers,38,60,79,80,34,76,24,45,40,45,6,9,23,48,37,49,3884678,4172432,4460186,0,0,0,0
Eric,Snow,75,205,34,PG,Michigan State,11,Cavaliers,44,56,5,72,59,59,29,40,48,56,15,15,32,54,43,51,6090000,6700000,7310000,0,0,0,0
Daniel,Gibson,74,190,21,PG,Texas,0,Cavaliers,36,64,80,65,28,74,27,41,48,54,14,20,28,52,40,93,412748,687456,0,0,0,0,0
David,Wesley,73,203,37,PG,Baylor,13,Cavaliers,38,63,28,69,27,71,30,50,51,60,16,11,32,57,43,50,1750000,1750000,0,0,0,0,0
